HasExellence,Itog,TotalSummDiv_l0.9,Age < 20,ProgramPriorId_33.0
HasExellence,UniOrig,Itog,TotalSummDiv_l1.0,Age < 18,ProgramPriorId_0.0
IsCommercePlace,HasExellence,UniOrig,Itog,TotalSummDiv_l1.0,Age < 18,ProgramPriorId_21.0
CompOriginal,IsCommercePlace,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_23.0
HasExellence,UniOrig,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_nan
UniOrig,Itog,TotalSummDiv_l0.9,Age < 18,ProgramPriorId_27.0
CompOriginal,IsCommercePlace,HasExellence,Itog,TotalSummDiv_l0.9,Age < 18,ProgramPriorId_4.0
HasExellence,UniOrig,Itog,TotalSummDiv_l1.0,Age < 18,ProgramPriorId_33.0
IsCommercePlace,HasExellence,Itog,TotalSummDiv_l1.0,Age < 18,ProgramPriorId_21.0
HasExellence,Itog,TotalSummDiv_l0.9,Age < 18,ProgramPriorId_nan
IsCommercePlace,Itog,TotalSummDiv_l0.9,Age < 18,ProgramPriorId_nan
HasExellence,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_nan
HasExellence,UniOrig,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_23.0
IsCommercePlace,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_23.0
CompOriginal,IsCommercePlace,Itog,TotalSummDiv_l0.8,Age < 18,ProgramPriorId_nan
CompOriginal,IsCommercePlace,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_nan
HasExellence,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_nan
IsCommercePlace,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_nan
IsCommercePlace,UniOrig,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_33.0
IsCommercePlace,UniOrig,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_0.0
IsCommercePlace,HasExellence,Itog,TotalSummDiv_l0.9,Age < 18,ProgramPriorId_nan
IsCommercePlace,Itog,TotalSummDiv_l0.8,Age < 20,ProgramPriorId_nan
HasExellence,UniOrig,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_33.0
HasExellence,Itog,TotalSummDiv_l1.0,Age < 18,ProgramPriorId_30.0
HasExellence,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_3.0
HasExellence,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_3.0
IsCommercePlace,HasExellence,UniOrig,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_18.0
IsCommercePlace,UniOrig,Itog,TotalSummDiv_l0.8,Age < 18,ProgramPriorId_nan
IsCommercePlace,UniOrig,Itog,TotalSummDiv_l0.8,Age < 18,ProgramPriorId_nan
CompOriginal,IsCommercePlace,HasExellence,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_33.0
IsCommercePlace,HasExellence,UniOrig,Itog,TotalSummDiv_l1.0,Age < 18,ProgramPriorId_33.0
HasExellence,Itog,TotalSummDiv_l0.9,Age < 20,ProgramPriorId_33.0
CompOriginal,IsCommercePlace,Itog,TotalSummDiv_l0.8,Age < 20,ProgramPriorId_30.0
IsCommercePlace,Itog,TotalSummDiv_l0.9,Age < 18,ProgramPriorId_nan
IsCommercePlace,Itog,TotalSummDiv_l0.9,Age < 18,ProgramPriorId_nan
Itog,TotalSummDiv_l0.8,Age < 20,ProgramPriorId_8.0
IsCommercePlace,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_nan
HasExellence,UniOrig,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_17.0
IsCommercePlace,HasExellence,UniOrig,Itog,TotalSummDiv_l0.9,Age < 18,ProgramPriorId_nan
Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_nan
UniOrig,Itog,TotalSummDiv_l0.9,Age < 20,ProgramPriorId_23.0
UniOrig,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_33.0
UniOrig,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_33.0
IsCommercePlace,Itog,TotalSummDiv_l1.0,Age < 18,ProgramPriorId_4.0
IsCommercePlace,HasExellence,Itog,TotalSummDiv_l0.9,Age < 18,ProgramPriorId_nan
IsCommercePlace,Itog,TotalSummDiv_l0.8,Age < 18,ProgramPriorId_0.0
IsCommercePlace,UniOrig,Itog,TotalSummDiv_l0.8,Age < 20,ProgramPriorId_nan
HasExellence,Itog,TotalSummDiv_l1.0,Age < 18,ProgramPriorId_8.0
Itog,TotalSummDiv_l0.9,Age < 18,ProgramPriorId_nan
UniOrig,Itog,TotalSummDiv_l1.0,Age < 18,ProgramPriorId_nan
HasExellence,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_33.0
HasExellence,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_33.0
IsCommercePlace,Itog,TotalSummDiv_l0.9,Age < 20,ProgramPriorId_2.0
IsCommercePlace,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_2.0
IsCommercePlace,HasExellence,UniOrig,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_0.0
IsCommercePlace,HasExellence,UniOrig,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_15.0
IsCommercePlace,HasExellence,Itog,TotalSummDiv_l0.9,Age < 18,ProgramPriorId_2.0
HasExellence,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_nan
HasExellence,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_nan
HasExellence,Itog,TotalSummDiv_l0.8,Age >= 20,ProgramPriorId_nan
CompOriginal,HasExellence,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_6.0
Itog,TotalSummDiv_l0.8,Age < 20,ProgramPriorId_15.0
HasExellence,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_4.0
CompOriginal,IsCommercePlace,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_4.0
HasExellence,UniOrig,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_14.0
UniOrig,Itog,TotalSummDiv_l0.9,Age < 20,ProgramPriorId_nan
HasExellence,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_nan
CompOriginal,IsCommercePlace,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_4.0
Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_4.0
CompOriginal,IsCommercePlace,HasExellence,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_4.0
CompOriginal,IsCommercePlace,Itog,TotalSummDiv_l0.9,Age < 20,ProgramPriorId_nan
IsCommercePlace,UniOrig,Itog,TotalSummDiv_l0.9,Age < 20,ProgramPriorId_nan
IsCommercePlace,Itog,TotalSummDiv_l0.9,Age < 20,ProgramPriorId_31.0
IsCommercePlace,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_4.0
HasExellence,UniOrig,TotalSummDiv_l1.0,Age < 18,ProgramPriorId_17.0
HasExellence,TotalSummDiv_l1.0,Age < 18,ProgramPriorId_25.0
Itog,TotalSummDiv_l0.9,Age < 20,ProgramPriorId_nan
Itog,TotalSummDiv_l0.9,Age >= 20,ProgramPriorId_nan
IsCommercePlace,Itog,TotalSummDiv_l0.9,Age < 20,ProgramPriorId_nan
IsCommercePlace,TotalSummDiv_l1.0,Age < 18,ProgramPriorId_nan
Itog,TotalSummDiv_l1.0,Age >= 20,ProgramPriorId_33.0
IsCommercePlace,HasExellence,UniOrig,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_31.0
IsCommercePlace,Itog,TotalSummDiv_l0.8,Age < 20,ProgramPriorId_nan
IsCommercePlace,Itog,TotalSummDiv_l0.8,Age < 20,ProgramPriorId_nan
Itog,TotalSummDiv_l1.0,Age < 18,ProgramPriorId_nan
IsCommercePlace,Itog,TotalSummDiv_l0.9,Age < 20,ProgramPriorId_nan
IsCommercePlace,HasExellence,Itog,TotalSummDiv_l0.9,Age < 18,ProgramPriorId_nan
IsCommercePlace,HasExellence,Itog,TotalSummDiv_l0.9,Age < 18,ProgramPriorId_nan
IsCommercePlace,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_9.0
IsCommercePlace,Itog,TotalSummDiv_l0.9,Age < 18,ProgramPriorId_1.0
HasExellence,Itog,TotalSummDiv_l0.9,Age < 18,ProgramPriorId_24.0
IsCommercePlace,UniOrig,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_23.0
IsCommercePlace,Itog,TotalSummDiv_l1.0,Age < 18,ProgramPriorId_0.0
TotalSummDiv_l0.8,Age < 18,ProgramPriorId_25.0
IsCommercePlace,UniOrig,Itog,TotalSummDiv_l0.9,Age < 20,ProgramPriorId_nan
IsCommercePlace,Itog,TotalSummDiv_l0.8,Age < 20,ProgramPriorId_nan
Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_nan
CompOriginal,IsCommercePlace,HasExellence,Itog,TotalSummDiv_l1.0,Age < 18,ProgramPriorId_23.0
HasExellence,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_21.0
UniOrig,Itog,TotalSummDiv_l0.9,Age < 20,ProgramPriorId_nan
CompOriginal,IsCommercePlace,Itog,TotalSummDiv_l0.8,Age < 20,ProgramPriorId_24.0
IsCommercePlace,Itog,TotalSummDiv_l0.9,Age < 18,ProgramPriorId_3.0
IsCommercePlace,HasExellence,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_2.0
HasExellence,UniOrig,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_nan
IsCommercePlace,UniOrig,Itog,TotalSummDiv_l1.0,Age < 18,ProgramPriorId_nan
IsCommercePlace,Itog,TotalSummDiv_l0.9,Age < 20,ProgramPriorId_nan
IsCommercePlace,UniOrig,Itog,TotalSummDiv_l0.9,Age < 20,ProgramPriorId_33.0
UniOrig,Itog,TotalSummDiv_l0.9,Age < 18,ProgramPriorId_21.0
HasExellence,UniOrig,Itog,TotalSummDiv_l1.0,Age < 18,ProgramPriorId_nan
HasExellence,UniOrig,Itog,TotalSummDiv_l1.0,Age < 18,ProgramPriorId_33.0
HasExellence,UniOrig,Itog,TotalSummDiv_l1.0,Age < 20,ProgramPriorId_31.0
IsCommercePlace,Itog,TotalSummDiv_l0.9,Age < 18,ProgramPriorId_nan
HasExellence,UniOrig,Itog,TotalSummDiv_l0.9,Age < 18,ProgramPriorId_23.0
HasExellence,Itog,TotalSummDiv_l0.9,Age >= 20,ProgramPriorId_27.0
